model,term,coef,std_err,t_value,p_value,n,r_squared,adj_r_squared
bart,const,0.08536498868002963,0.05701972954995339,1.4971131808901998,0.14262468410103613,40,0.5084981280626009,0.4955638682747745
bart,bart_distributive,0.6644400874848491,0.10596975671924135,6.270091656860472,2.4270143178753346e-07,40,0.5084981280626009,0.4955638682747745
roberta,const,0.18969078627126656,0.07560947148652894,2.5088230686159876,0.0164978824899488,40,0.0036985768424580012,-0.022519881661687835
roberta,roberta_distributive,0.044343973608022724,0.11806491562262622,0.37558976241308173,0.7093104463581148,40,0.0036985768424580012,-0.022519881661687835
